epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,918.491,0.8715,0.55579,0.88655,0.99818,0.4065,0.41084,0.32132,0.85436,0.52316,0.87137,0.000973861,0.000973861,0.000973861
44,963.734,0.87212,0.53928,0.8797,0.9986,0.34959,0.35227,0.28469,0.82396,0.50237,0.86429,0.000957358,0.000957358,0.000957358
45,1012.24,0.893,0.56227,0.8925,0.99893,0.4065,0.41271,0.32825,0.837,0.49335,0.8658,0.000940855,0.000940855,0.000940855
46,1065.28,0.86145,0.54447,0.88043,0.99796,0.4065,0.41714,0.33331,0.84482,0.47744,0.87263,0.000924352,0.000924352,0.000924352
47,1112.63,0.84088,0.53253,0.86563,0.999,0.52033,0.54036,0.42667,0.82362,0.49076,0.86264,0.000907848,0.000907848,0.000907848
48,1154.56,0.8681,0.54546,0.88907,0.99918,0.52033,0.54694,0.43619,0.82507,0.47818,0.86262,0.000891345,0.000891345,0.000891345
49,1191.18,0.87308,0.53062,0.88222,0.99909,0.70732,0.7219,0.57766,0.83246,0.47807,0.86238,0.000874842,0.000874842,0.000874842
50,1218.81,0.85692,0.51931,0.88165,0.99949,0.95122,0.95777,0.75902,0.83858,0.46954,0.8658,0.000858338,0.000858338,0.000858338
51,1534.54,0.86606,0.51858,0.88305,0.99954,0.82114,0.83878,0.66853,0.83139,0.45378,0.86084,0.000841835,0.000841835,0.000841835
52,1555.74,0.86868,0.52106,0.87279,0.99919,1,0.995,0.78752,0.84085,0.47792,0.87033,0.000825332,0.000825332,0.000825332
53,1575.8,0.89118,0.53569,0.88387,0.99935,1,0.995,0.79436,0.83184,0.47812,0.8691,0.000808828,0.000808828,0.000808828
54,1599.93,0.85216,0.52717,0.87491,0.9994,1,0.995,0.79322,0.82561,0.45878,0.86326,0.000792325,0.000792325,0.000792325
55,1619.73,0.85051,0.50477,0.87466,0.99948,1,0.995,0.79612,0.82057,0.454,0.85921,0.000775822,0.000775822,0.000775822
56,1644.07,0.84166,0.50783,0.88192,0.99944,1,0.995,0.81028,0.80529,0.44974,0.85709,0.000759318,0.000759318,0.000759318
57,1662.24,0.84199,0.50284,0.87924,0.9996,1,0.995,0.80129,0.81211,0.44225,0.86015,0.000742815,0.000742815,0.000742815
58,1680.37,0.83559,0.49951,0.88094,0.99955,1,0.995,0.80474,0.81401,0.46127,0.855,0.000726312,0.000726312,0.000726312
59,1695.22,0.82885,0.49297,0.87637,0.99959,1,0.995,0.7978,0.8279,0.46573,0.86128,0.000709809,0.000709809,0.000709809
60,1710.15,0.85412,0.49716,0.89464,0.99958,1,0.995,0.80488,0.82029,0.44661,0.86246,0.000693305,0.000693305,0.000693305
61,1725.5,0.82853,0.48468,0.86192,0.99963,1,0.995,0.81048,0.80198,0.44589,0.85389,0.000676802,0.000676802,0.000676802
62,1744.3,0.8406,0.49355,0.88458,0.99942,1,0.995,0.81161,0.78048,0.44929,0.85169,0.000660299,0.000660299,0.000660299
63,1759.99,0.84781,0.48543,0.87806,0.99955,1,0.995,0.81243,0.78658,0.44698,0.85531,0.000643795,0.000643795,0.000643795
64,1781.15,0.83314,0.47318,0.86811,0.9994,1,0.995,0.81439,0.78567,0.44918,0.85374,0.000627292,0.000627292,0.000627292
65,1798.39,0.81502,0.47622,0.86375,0.99938,1,0.995,0.81019,0.80231,0.45368,0.85495,0.000610789,0.000610789,0.000610789
66,1816.33,0.82366,0.46374,0.86485,0.9996,1,0.995,0.81653,0.78808,0.44581,0.85213,0.000594286,0.000594286,0.000594286
67,1837.5,0.79202,0.45556,0.86924,0.99959,1,0.995,0.81489,0.78544,0.44342,0.85323,0.000577782,0.000577782,0.000577782
68,1853.34,0.82537,0.46751,0.86332,0.99952,1,0.995,0.81135,0.79572,0.44575,0.85376,0.000561279,0.000561279,0.000561279
69,1869.91,0.84916,0.48679,0.88174,0.99946,1,0.995,0.81013,0.79398,0.43524,0.85361,0.000544776,0.000544776,0.000544776
70,1887.7,0.81025,0.46633,0.8581,0.99942,1,0.995,0.80479,0.80556,0.44188,0.85639,0.000528272,0.000528272,0.000528272
71,1907.23,0.80584,0.46938,0.86132,0.9995,1,0.995,0.80194,0.81196,0.44925,0.86004,0.000511769,0.000511769,0.000511769
72,1926.53,0.80876,0.47248,0.86462,0.99959,1,0.995,0.81755,0.79295,0.43704,0.85551,0.000495266,0.000495266,0.000495266
